Time, BOX1, BOX2, BOX3
start
2022/04/07-11:56:41.182388,401.0,401.0,401.0
2022/04/07-11:56:41.312560,401.0,401.0,401.0
2022/04/07-11:56:41.455369,401.0,401.0,401.0
2022/04/07-11:56:41.599471,401.0,401.0,401.0
2022/04/07-11:56:41.742018,401.0,401.0,401.0
2022/04/07-11:56:41.895140,401.0,401.0,401.0
2022/04/07-11:56:42.036192,401.0,401.0,401.0
2022/04/07-11:56:42.182103,401.0,401.0,401.0
2022/04/07-11:56:42.328876,401.0,401.0,401.0
2022/04/07-11:56:42.486368,401.0,401.0,401.0
2022/04/07-11:56:42.630481,401.0,401.0,401.0
2022/04/07-11:56:42.768943,401.0,401.0,401.0
2022/04/07-11:56:42.895145,401.0,401.0,401.0
2022/04/07-11:56:43.000339,401.0,401.0,401.0
2022/04/07-11:56:43.137598,401.0,401.0,401.0
2022/04/07-11:56:43.248876,401.0,401.0,401.0
2022/04/07-11:56:43.349584,401.0,401.0,401.0
2022/04/07-11:56:43.487936,401.0,401.0,401.0
2022/04/07-11:56:43.602998,401.0,401.0,401.0
2022/04/07-11:56:43.745263,401.0,401.0,401.0
2022/04/07-11:56:43.887147,401.0,401.0,401.0
2022/04/07-11:56:44.029425,401.0,401.0,401.0
2022/04/07-11:56:44.130492,401.0,401.0,401.0
2022/04/07-11:56:44.281005,401.0,401.0,401.0
2022/04/07-11:56:44.427053,401.0,401.0,401.0
2022/04/07-11:56:44.574998,401.0,401.0,401.0
2022/04/07-11:56:44.712564,401.0,401.0,401.0
2022/04/07-11:56:44.869231,401.0,401.0,401.0
2022/04/07-11:56:45.006161,401.0,401.0,401.0
2022/04/07-11:56:45.146499,401.0,401.0,401.0
2022/04/07-11:56:45.295816,401.0,401.0,401.0
2022/04/07-11:56:45.434706,401.0,401.0,401.0
2022/04/07-11:56:45.573735,401.0,401.0,401.0
2022/04/07-11:56:45.711730,401.0,401.0,401.0
2022/04/07-11:56:45.861850,401.0,401.0,401.0
2022/04/07-11:56:45.993555,401.0,401.0,401.0
2022/04/07-11:56:46.131899,401.0,401.0,401.0
2022/04/07-11:56:46.299628,401.0,401.0,401.0
2022/04/07-11:56:46.457981,401.0,401.0,401.0
2022/04/07-11:56:46.614842,401.0,401.0,401.0
2022/04/07-11:56:46.779310,401.0,401.0,401.0
2022/04/07-11:56:46.928633,401.0,401.0,401.0
2022/04/07-11:56:47.077511,401.0,401.0,401.0
2022/04/07-11:56:47.220686,401.0,401.0,401.0
2022/04/07-11:56:47.391985,401.0,401.0,401.0
2022/04/07-11:56:47.549016,401.0,401.0,401.0
2022/04/07-11:56:47.698644,401.0,401.0,401.0
2022/04/07-11:56:47.848364,401.0,401.0,401.0
2022/04/07-11:56:48.006290,401.0,401.0,401.0
2022/04/07-11:56:48.144724,401.0,401.0,401.0
2022/04/07-11:56:48.292929,401.0,401.0,401.0
2022/04/07-11:56:48.445846,401.0,401.0,401.0
2022/04/07-11:56:48.588524,401.0,401.0,401.0
2022/04/07-11:56:48.741084,401.0,401.0,401.0
2022/04/07-11:56:48.887732,401.0,401.0,401.0
2022/04/07-11:56:49.034087,401.0,401.0,401.0
2022/04/07-11:56:49.134376,401.0,401.0,401.0
2022/04/07-11:56:49.235034,401.0,401.0,401.0
2022/04/07-11:56:49.337431,401.0,401.0,401.0
2022/04/07-11:56:49.497579,401.0,401.0,401.0
2022/04/07-11:56:49.636982,401.0,401.0,401.0
2022/04/07-11:56:49.778086,401.0,401.0,401.0
2022/04/07-11:56:49.922902,401.0,401.0,401.0
2022/04/07-11:56:50.074100,401.0,401.0,401.0
2022/04/07-11:56:50.213791,401.0,401.0,401.0
2022/04/07-11:56:50.362632,401.0,401.0,401.0
2022/04/07-11:56:50.502376,401.0,401.0,401.0
2022/04/07-11:56:50.641909,401.0,401.0,401.0
2022/04/07-11:56:50.781804,401.0,401.0,401.0
2022/04/07-11:56:50.917926,401.0,401.0,401.0
2022/04/07-11:56:51.052495,401.0,401.0,401.0
2022/04/07-11:56:51.174427,401.0,401.0,401.0
2022/04/07-11:56:51.311434,401.0,401.0,401.0
2022/04/07-11:56:51.433542,401.0,401.0,401.0
2022/04/07-11:56:51.555994,401.0,401.0,401.0
2022/04/07-11:56:51.679414,401.0,401.0,401.0
2022/04/07-11:56:51.801318,401.0,401.0,401.0
2022/04/07-11:56:51.927748,401.0,401.0,401.0
2022/04/07-11:56:52.064414,401.0,401.0,401.0
2022/04/07-11:56:52.195356,401.0,401.0,401.0
2022/04/07-11:56:52.336696,401.0,401.0,401.0
2022/04/07-11:56:52.480285,401.0,401.0,401.0
2022/04/07-11:56:52.621678,401.0,401.0,401.0
2022/04/07-11:56:52.749266,401.0,401.0,401.0
2022/04/07-11:56:52.875060,401.0,401.0,401.0
2022/04/07-11:56:52.998251,401.0,401.0,401.0
2022/04/07-11:56:53.136281,401.0,401.0,401.0
2022/04/07-11:56:53.288813,401.0,401.0,401.0
2022/04/07-11:56:53.431917,401.0,401.0,401.0
2022/04/07-11:56:53.565710,401.0,401.0,401.0
2022/04/07-11:56:53.690438,401.0,401.0,401.0
2022/04/07-11:56:53.833361,401.0,401.0,401.0
2022/04/07-11:56:53.956817,401.0,401.0,401.0
2022/04/07-11:56:54.081598,401.0,401.0,401.0
2022/04/07-11:56:54.211255,401.0,401.0,401.0
2022/04/07-11:56:54.351009,401.0,401.0,401.0
2022/04/07-11:56:54.507249,401.0,401.0,401.0
2022/04/07-11:56:54.658916,401.0,401.0,401.0
2022/04/07-11:56:54.807286,401.0,401.0,401.0
2022/04/07-11:56:54.947820,401.0,401.0,401.0
2022/04/07-11:56:55.115737,401.0,401.0,401.0
2022/04/07-11:56:55.245859,401.0,401.0,401.0
2022/04/07-11:56:55.380478,401.0,401.0,401.0
2022/04/07-11:56:55.513855,401.0,401.0,401.0
2022/04/07-11:56:55.653428,401.0,401.0,401.0
2022/04/07-11:56:55.783251,401.0,401.0,401.0
2022/04/07-11:56:55.918636,401.0,401.0,401.0
2022/04/07-11:56:56.075513,401.0,401.0,401.0
2022/04/07-11:56:56.214855,401.0,401.0,401.0
2022/04/07-11:56:56.362228,401.0,401.0,401.0
2022/04/07-11:56:56.513649,401.0,401.0,401.0
2022/04/07-11:56:56.659096,401.0,401.0,401.0
2022/04/07-11:56:56.793848,401.0,401.0,401.0
2022/04/07-11:56:56.952035,401.0,401.0,401.0
2022/04/07-11:56:57.077882,401.0,401.0,401.0
2022/04/07-11:56:57.208193,401.0,401.0,401.0
2022/04/07-11:56:57.311786,401.0,401.0,401.0
2022/04/07-11:56:57.449944,401.0,401.0,401.0
2022/04/07-11:56:57.595359,401.0,401.0,401.0
2022/04/07-11:56:57.729778,401.0,401.0,401.0
2022/04/07-11:56:57.839968,401.0,401.0,401.0
2022/04/07-11:56:57.975338,401.0,401.0,401.0
2022/04/07-11:56:58.114320,401.0,401.0,401.0
2022/04/07-11:56:58.239155,401.0,401.0,401.0
2022/04/07-11:56:58.386977,401.0,401.0,401.0
2022/04/07-11:56:58.510648,401.0,401.0,401.0
2022/04/07-11:56:58.642108,401.0,401.0,401.0
2022/04/07-11:56:58.778980,401.0,401.0,401.0
2022/04/07-11:56:58.915083,401.0,401.0,401.0
2022/04/07-11:56:59.051480,401.0,401.0,401.0
2022/04/07-11:56:59.175755,401.0,401.0,401.0
2022/04/07-11:56:59.297011,401.0,401.0,401.0
2022/04/07-11:56:59.418612,401.0,401.0,401.0
2022/04/07-11:56:59.553746,401.0,401.0,401.0
2022/04/07-11:56:59.690120,401.0,401.0,401.0
2022/04/07-11:56:59.824456,401.0,401.0,401.0
2022/04/07-11:56:59.962540,401.0,401.0,401.0
2022/04/07-11:57:00.101229,401.0,401.0,401.0
2022/04/07-11:57:00.237753,401.0,401.0,401.0
2022/04/07-11:57:00.378176,401.0,401.0,401.0
2022/04/07-11:57:00.497600,401.0,401.0,401.0
2022/04/07-11:57:00.630962,401.0,401.0,401.0
2022/04/07-11:57:00.756078,401.0,401.0,401.0
2022/04/07-11:57:00.892558,401.0,401.0,401.0
2022/04/07-11:57:01.015983,401.0,401.0,401.0
2022/04/07-11:57:01.155892,401.0,401.0,401.0
2022/04/07-11:57:01.281678,401.0,401.0,401.0
2022/04/07-11:57:01.399706,401.0,401.0,401.0
2022/04/07-11:57:01.521637,401.0,401.0,401.0
2022/04/07-11:57:01.646378,401.0,401.0,401.0
2022/04/07-11:57:01.769095,401.0,401.0,401.0
2022/04/07-11:57:01.891643,401.0,401.0,401.0
2022/04/07-11:57:02.013532,401.0,401.0,401.0
2022/04/07-11:57:02.137665,401.0,401.0,401.0
2022/04/07-11:57:02.262995,401.0,401.0,401.0
2022/04/07-11:57:02.389567,401.0,401.0,401.0
2022/04/07-11:57:02.514254,401.0,401.0,401.0
2022/04/07-11:57:02.639661,401.0,401.0,401.0
2022/04/07-11:57:02.759714,401.0,401.0,401.0
2022/04/07-11:57:02.897633,401.0,401.0,401.0
2022/04/07-11:57:03.020120,401.0,401.0,401.0
2022/04/07-11:57:03.149922,401.0,401.0,401.0
2022/04/07-11:57:03.282007,401.0,401.0,401.0
2022/04/07-11:57:03.407238,401.0,401.0,401.0
2022/04/07-11:57:03.542950,401.0,401.0,401.0
2022/04/07-11:57:03.679485,401.0,401.0,401.0
2022/04/07-11:57:03.817669,401.0,401.0,401.0
2022/04/07-11:57:03.955934,401.0,401.0,401.0
2022/04/07-11:57:04.094346,401.0,401.0,401.0
2022/04/07-11:57:04.216456,401.0,401.0,401.0
2022/04/07-11:57:04.359272,401.0,401.0,401.0
2022/04/07-11:57:04.505899,401.0,401.0,401.0
2022/04/07-11:57:04.606483,401.0,401.0,401.0
2022/04/07-11:57:04.740132,401.0,401.0,401.0
2022/04/07-11:57:04.879508,401.0,401.0,401.0
2022/04/07-11:57:05.017054,401.0,401.0,401.0
2022/04/07-11:57:05.159711,401.0,401.0,401.0
2022/04/07-11:57:05.302843,401.0,401.0,401.0
2022/04/07-11:57:05.454008,401.0,401.0,401.0
2022/04/07-11:57:05.573438,401.0,401.0,401.0
2022/04/07-11:57:05.702143,401.0,401.0,401.0
2022/04/07-11:57:05.836117,401.0,401.0,401.0
2022/04/07-11:57:05.955492,401.0,401.0,401.0
2022/04/07-11:57:06.081178,401.0,401.0,401.0
2022/04/07-11:57:06.204759,401.0,401.0,401.0
2022/04/07-11:57:06.332291,401.0,401.0,401.0
2022/04/07-11:57:06.469396,401.0,401.0,401.0
2022/04/07-11:57:06.602447,401.0,401.0,401.0
2022/04/07-11:57:06.727581,401.0,401.0,401.0
2022/04/07-11:57:06.852522,401.0,401.0,401.0
2022/04/07-11:57:06.983388,401.0,401.0,401.0
2022/04/07-11:57:07.137465,401.0,401.0,401.0
2022/04/07-11:57:07.269308,401.0,401.0,401.0
2022/04/07-11:57:07.400738,401.0,401.0,401.0
2022/04/07-11:57:07.522154,401.0,401.0,401.0
2022/04/07-11:57:07.642122,401.0,401.0,401.0
2022/04/07-11:57:07.768129,401.0,401.0,401.0
2022/04/07-11:57:07.884242,401.0,401.0,401.0
2022/04/07-11:57:08.015507,401.0,401.0,401.0
2022/04/07-11:57:08.153729,401.0,401.0,401.0
2022/04/07-11:57:08.277772,401.0,401.0,401.0
2022/04/07-11:57:08.407955,401.0,401.0,401.0
2022/04/07-11:57:08.535703,401.0,401.0,401.0
2022/04/07-11:57:08.674770,401.0,401.0,401.0
2022/04/07-11:57:08.807020,401.0,401.0,401.0
2022/04/07-11:57:08.924826,401.0,401.0,401.0
2022/04/07-11:57:09.057900,401.0,401.0,401.0
2022/04/07-11:57:09.184959,401.0,401.0,401.0
2022/04/07-11:57:09.317498,401.0,401.0,401.0
2022/04/07-11:57:09.450355,401.0,401.0,401.0
2022/04/07-11:57:09.585633,401.0,401.0,401.0
2022/04/07-11:57:09.728144,401.0,401.0,401.0
2022/04/07-11:57:09.863072,401.0,401.0,401.0
2022/04/07-11:57:10.011875,401.0,401.0,401.0
2022/04/07-11:57:10.156735,401.0,401.0,401.0
2022/04/07-11:57:10.297016,401.0,401.0,401.0
2022/04/07-11:57:10.414052,401.0,401.0,401.0
2022/04/07-11:57:10.548667,401.0,401.0,401.0
2022/04/07-11:57:10.668658,401.0,401.0,401.0
2022/04/07-11:57:10.801121,401.0,401.0,401.0
2022/04/07-11:57:10.932894,401.0,401.0,401.0
2022/04/07-11:57:11.072718,401.0,401.0,401.0
2022/04/07-11:57:11.206947,401.0,401.0,401.0
2022/04/07-11:57:11.348624,401.0,401.0,401.0
2022/04/07-11:57:11.488050,401.0,401.0,401.0
2022/04/07-11:57:11.625993,401.0,401.0,401.0
2022/04/07-11:57:11.764543,401.0,401.0,401.0
2022/04/07-11:57:11.903481,401.0,401.0,401.0
2022/04/07-11:57:12.040699,401.0,401.0,401.0
2022/04/07-11:57:12.168509,401.0,401.0,401.0
2022/04/07-11:57:12.313498,401.0,401.0,401.0
2022/04/07-11:57:12.448488,401.0,401.0,401.0
2022/04/07-11:57:12.592009,401.0,401.0,401.0
2022/04/07-11:57:12.728089,401.0,401.0,401.0
2022/04/07-11:57:12.868999,401.0,401.0,401.0
2022/04/07-11:57:13.004715,401.0,401.0,401.0
2022/04/07-11:57:13.158382,401.0,401.0,401.0
2022/04/07-11:57:13.298077,401.0,401.0,401.0
2022/04/07-11:57:13.429214,401.0,401.0,401.0
2022/04/07-11:57:13.553780,401.0,401.0,401.0
2022/04/07-11:57:13.689862,401.0,401.0,401.0
2022/04/07-11:57:13.830401,401.0,401.0,401.0
2022/04/07-11:57:13.959449,401.0,401.0,401.0
2022/04/07-11:57:14.103094,401.0,401.0,401.0
2022/04/07-11:57:14.240610,401.0,401.0,401.0
2022/04/07-11:57:14.375281,401.0,401.0,401.0
2022/04/07-11:57:14.513634,401.0,401.0,401.0
2022/04/07-11:57:14.638238,401.0,401.0,401.0
2022/04/07-11:57:14.777924,401.0,401.0,401.0
2022/04/07-11:57:14.919080,401.0,401.0,401.0
2022/04/07-11:57:15.055095,401.0,401.0,401.0
2022/04/07-11:57:15.183475,401.0,401.0,401.0
2022/04/07-11:57:15.307469,401.0,401.0,401.0
2022/04/07-11:57:15.449119,401.0,401.0,401.0
2022/04/07-11:57:15.577875,401.0,401.0,401.0
2022/04/07-11:57:15.705223,401.0,401.0,401.0
2022/04/07-11:57:15.845260,401.0,401.0,401.0
2022/04/07-11:57:15.973799,401.0,401.0,401.0
2022/04/07-11:57:16.098983,401.0,401.0,401.0
2022/04/07-11:57:16.243868,401.0,401.0,401.0
2022/04/07-11:57:16.375108,401.0,401.0,401.0
2022/04/07-11:57:16.481724,401.0,401.0,401.0
2022/04/07-11:57:16.620009,401.0,401.0,401.0
2022/04/07-11:57:16.764948,401.0,401.0,401.0
2022/04/07-11:57:16.866676,401.0,401.0,401.0
2022/04/07-11:57:16.967357,401.0,401.0,401.0
2022/04/07-11:57:17.126837,401.0,401.0,401.0
2022/04/07-11:57:17.275974,401.0,401.0,401.0
2022/04/07-11:57:17.411426,401.0,401.0,401.0
2022/04/07-11:57:17.561006,401.0,401.0,401.0
2022/04/07-11:57:17.691012,401.0,401.0,401.0
2022/04/07-11:57:17.830220,401.0,401.0,401.0
2022/04/07-11:57:17.947287,401.0,401.0,401.0
2022/04/07-11:57:18.082874,401.0,401.0,401.0
2022/04/07-11:57:18.210443,401.0,401.0,401.0
2022/04/07-11:57:18.357932,401.0,401.0,401.0
2022/04/07-11:57:18.487289,401.0,401.0,401.0
2022/04/07-11:57:18.622013,401.0,401.0,401.0
2022/04/07-11:57:18.752060,401.0,401.0,401.0
2022/04/07-11:57:18.890521,401.0,401.0,401.0
2022/04/07-11:57:19.018946,401.0,401.0,401.0
2022/04/07-11:57:19.149124,401.0,401.0,401.0
2022/04/07-11:57:19.292635,401.0,401.0,401.0
2022/04/07-11:57:19.434348,401.0,401.0,401.0
2022/04/07-11:57:19.558167,401.0,401.0,401.0
2022/04/07-11:57:19.691140,401.0,401.0,401.0
2022/04/07-11:57:19.816298,401.0,401.0,401.0
2022/04/07-11:57:19.931659,401.0,401.0,401.0
2022/04/07-11:57:20.064115,401.0,401.0,401.0
2022/04/07-11:57:20.202218,401.0,401.0,401.0
2022/04/07-11:57:20.336704,401.0,401.0,401.0
2022/04/07-11:57:20.473567,401.0,401.0,401.0
2022/04/07-11:57:20.614634,401.0,401.0,401.0
2022/04/07-11:57:20.756003,401.0,401.0,401.0
2022/04/07-11:57:20.889347,401.0,401.0,401.0
2022/04/07-11:57:21.025332,401.0,401.0,401.0
2022/04/07-11:57:21.154339,401.0,401.0,401.0
2022/04/07-11:57:21.287111,401.0,401.0,401.0
2022/04/07-11:57:21.418053,401.0,401.0,401.0
2022/04/07-11:57:21.542059,401.0,401.0,401.0
2022/04/07-11:57:21.677510,401.0,401.0,401.0
2022/04/07-11:57:21.803721,401.0,401.0,401.0
2022/04/07-11:57:21.937510,401.0,401.0,401.0
2022/04/07-11:57:22.075411,401.0,401.0,401.0
2022/04/07-11:57:22.196031,401.0,401.0,401.0
2022/04/07-11:57:22.334555,401.0,401.0,401.0
2022/04/07-11:57:22.467249,401.0,401.0,401.0
2022/04/07-11:57:22.590737,401.0,401.0,401.0
2022/04/07-11:57:22.713997,401.0,401.0,401.0
2022/04/07-11:57:22.836218,401.0,401.0,401.0
2022/04/07-11:57:22.957627,401.0,401.0,401.0
2022/04/07-11:57:23.074557,401.0,401.0,401.0
2022/04/07-11:57:23.199903,401.0,401.0,401.0
2022/04/07-11:57:23.327706,401.0,401.0,401.0
2022/04/07-11:57:23.461096,401.0,401.0,401.0
2022/04/07-11:57:23.590028,401.0,401.0,401.0
2022/04/07-11:57:23.721119,401.0,401.0,401.0
2022/04/07-11:57:23.851607,401.0,401.0,401.0
2022/04/07-11:57:23.981267,401.0,401.0,401.0
2022/04/07-11:57:24.102849,401.0,401.0,401.0
2022/04/07-11:57:24.231153,401.0,401.0,401.0
2022/04/07-11:57:24.344698,401.0,401.0,401.0
2022/04/07-11:57:24.473425,401.0,401.0,401.0
2022/04/07-11:57:24.615662,401.0,401.0,401.0
2022/04/07-11:57:24.749659,401.0,401.0,401.0
2022/04/07-11:57:24.887181,401.0,401.0,401.0
2022/04/07-11:57:25.017999,401.0,401.0,401.0
2022/04/07-11:57:25.151014,401.0,401.0,401.0
2022/04/07-11:57:25.287979,401.0,401.0,401.0
2022/04/07-11:57:25.429021,401.0,401.0,401.0
2022/04/07-11:57:25.571447,401.0,401.0,401.0
2022/04/07-11:57:25.710386,401.0,401.0,401.0
2022/04/07-11:57:25.845071,401.0,401.0,401.0
2022/04/07-11:57:25.976768,401.0,401.0,401.0
2022/04/07-11:57:26.112520,401.0,401.0,401.0
2022/04/07-11:57:26.255055,401.0,401.0,401.0
2022/04/07-11:57:26.393770,401.0,401.0,401.0
2022/04/07-11:57:26.522309,401.0,401.0,401.0
2022/04/07-11:57:26.665382,401.0,401.0,401.0
2022/04/07-11:57:26.802205,401.0,401.0,401.0
2022/04/07-11:57:26.940695,401.0,401.0,401.0
2022/04/07-11:57:27.076823,401.0,401.0,401.0
2022/04/07-11:57:27.219558,401.0,401.0,401.0
2022/04/07-11:57:27.360480,401.0,401.0,401.0
2022/04/07-11:57:27.490765,401.0,401.0,401.0
2022/04/07-11:57:27.629523,401.0,401.0,401.0
2022/04/07-11:57:27.769704,401.0,401.0,401.0
2022/04/07-11:57:27.905841,401.0,401.0,401.0
2022/04/07-11:57:28.039929,401.0,401.0,401.0
2022/04/07-11:57:28.177923,401.0,401.0,401.0
2022/04/07-11:57:28.307576,401.0,401.0,401.0
2022/04/07-11:57:28.440946,401.0,401.0,401.0
2022/04/07-11:57:28.574731,401.0,401.0,401.0
2022/04/07-11:57:28.704825,401.0,401.0,401.0
2022/04/07-11:57:28.832691,401.0,401.0,401.0
2022/04/07-11:57:28.964203,401.0,401.0,401.0
2022/04/07-11:57:29.087678,401.0,401.0,401.0
