Time, BOX1, BOX2, BOX3
2022/04/08-08:07:05.728946,54.3,54.3,54.3
2022/04/08-08:08:05.736406,54.3,54.3,54.3
2022/04/08-08:09:05.752423,54.3,54.3,54.3
2022/04/08-08:10:05.794030,54.3,54.3,54.3
2022/04/08-08:11:05.801765,54.4,54.4,54.4
2022/04/08-08:12:05.806930,54.3,54.3,54.3
2022/04/08-08:13:05.813624,54.4,54.4,54.4
2022/04/08-08:14:05.842343,54.4,54.4,54.4
2022/04/08-08:15:05.858490,54.4,54.4,54.4
2022/04/08-08:16:05.876058,54.4,54.4,54.4
2022/04/08-08:17:05.878833,54.4,54.4,54.4
2022/04/08-08:18:05.888999,54.5,54.5,54.5
2022/04/08-08:19:05.912805,54.5,54.5,54.5
2022/04/08-08:20:05.946763,54.5,54.5,54.5
2022/04/08-08:21:05.952839,54.5,54.5,54.5
2022/04/08-08:22:05.974796,54.6,54.6,54.6
2022/04/08-08:23:05.991554,54.6,54.6,54.6
2022/04/08-08:24:06.000446,54.6,54.6,54.6
2022/04/08-08:25:06.017937,54.6,54.6,54.6
2022/04/08-08:26:06.043877,54.6,54.6,54.6
2022/04/08-08:27:06.062379,54.6,54.6,54.6
2022/04/08-08:28:06.065838,54.7,54.7,54.7
2022/04/08-08:29:06.071301,54.7,54.7,54.7
2022/04/08-08:30:06.082369,54.7,54.7,54.7
2022/04/08-08:31:06.097275,54.8,54.8,54.8
2022/04/08-08:32:06.116190,54.8,54.8,54.8
2022/04/08-08:33:06.126724,54.8,54.8,54.8
2022/04/08-08:34:06.143199,54.8,54.8,54.8
2022/04/08-08:35:06.144213,54.9,54.9,54.9
2022/04/08-08:36:06.145289,54.9,54.9,54.9
2022/04/08-08:37:06.152770,54.9,54.9,54.9
2022/04/08-08:56:07.379274,55.1,55.1,55.1
2022/04/08-08:57:07.407884,55.1,55.1,55.1
2022/04/08-08:58:07.426656,55.1,55.1,55.1
2022/04/08-08:59:07.443211,55.1,55.1,55.1
2022/04/08-09:00:07.461713,55.1,55.1,55.1
2022/04/08-09:01:07.483173,55.1,55.1,55.1
2022/04/08-09:02:07.496017,55.2,55.2,55.2
2022/04/08-09:03:07.498722,55.2,55.2,55.2
2022/04/08-09:04:07.500022,55.1,55.1,55.1
2022/04/08-09:05:07.511146,55.1,55.1,55.1
2022/04/08-09:06:07.534208,55.2,55.2,55.2
2022/04/08-09:07:07.560767,55.2,55.2,55.2
2022/04/08-09:08:07.581812,55.2,55.2,55.2
2022/04/08-09:09:07.583651,55.2,55.2,55.2
2022/04/08-09:10:07.593358,55.2,55.2,55.2
2022/04/08-09:11:07.594969,55.3,55.3,55.3
2022/04/08-09:12:07.619058,55.3,55.3,55.3
2022/04/08-09:13:07.635256,55.3,55.3,55.3
2022/04/08-09:14:07.646674,55.3,55.3,55.3
2022/04/08-09:15:07.651084,55.4,55.4,55.4
2022/04/08-09:16:07.681183,55.4,55.4,55.4
2022/04/08-09:17:07.681854,55.4,55.4,55.4
2022/04/08-09:18:07.705821,55.4,55.4,55.4
2022/04/08-09:19:07.710788,55.4,55.4,55.4
2022/04/08-09:20:07.719487,55.4,55.4,55.4
2022/04/08-09:21:07.732464,55.4,55.4,55.4
2022/04/08-09:22:07.746573,55.4,55.4,55.4
2022/04/08-09:23:07.768562,55.4,55.4,55.4
2022/04/08-09:24:07.793885,55.4,55.4,55.4
2022/04/08-09:25:07.814247,55.4,55.4,55.4
2022/04/08-09:26:07.814822,55.4,55.4,55.4
2022/04/08-09:27:07.825533,55.4,55.4,55.4
2022/04/08-09:28:07.856452,55.5,55.5,55.5
2022/04/08-09:29:07.870679,55.5,55.5,55.5
2022/04/08-09:30:07.881915,55.5,55.5,55.5
2022/04/08-09:31:07.896351,55.5,55.5,55.5
2022/04/08-09:32:07.923783,55.5,55.5,55.5
2022/04/08-09:33:07.937512,55.5,55.5,55.5
2022/04/08-09:34:07.942606,55.5,55.5,55.5
2022/04/08-09:35:07.955772,55.5,55.5,55.5
2022/04/08-09:36:07.982468,55.5,55.5,55.5
2022/04/08-09:37:07.999887,55.5,55.5,55.5
2022/04/08-09:38:08.002225,55.5,55.5,55.5
2022/04/08-09:39:08.028663,55.5,55.5,55.5
2022/04/08-09:40:08.030227,55.5,55.5,55.5
2022/04/08-09:41:08.043547,55.5,55.5,55.5
2022/04/08-09:42:08.077183,55.5,55.5,55.5
2022/04/08-09:43:08.090322,55.5,55.5,55.5
2022/04/08-09:44:08.101549,55.5,55.5,55.5
2022/04/08-09:45:08.108365,55.5,55.5,55.5
2022/04/08-09:46:08.109955,55.5,55.5,55.5
2022/04/08-09:47:08.119665,55.5,55.5,55.5
2022/04/08-09:48:08.157691,55.5,55.5,55.5
2022/04/08-09:49:08.179882,55.6,55.6,55.6
2022/04/08-09:50:08.180461,55.6,55.6,55.6
2022/04/08-09:51:08.194029,55.5,55.5,55.5
2022/04/08-09:52:08.201902,55.5,55.5,55.5
2022/04/08-09:53:08.203398,55.6,55.6,55.6
2022/04/08-09:54:08.205522,55.6,55.6,55.6
2022/04/08-09:55:08.213796,55.6,55.6,55.6
2022/04/08-09:56:08.228499,55.6,55.6,55.6
2022/04/08-09:57:08.228518,55.7,55.7,55.7
2022/04/08-09:58:08.238895,55.7,55.7,55.7
2022/04/08-09:59:08.241960,55.7,55.7,55.7
2022/04/08-10:00:08.245746,55.7,55.7,55.7
2022/04/08-10:01:08.277020,55.7,55.7,55.7
2022/04/08-10:02:08.290016,55.8,55.8,55.8
2022/04/08-10:03:08.328240,55.8,55.8,55.8
2022/04/08-10:04:08.345398,55.8,55.8,55.8
2022/04/08-10:05:08.346950,55.8,55.8,55.8
2022/04/08-10:06:08.372830,55.8,55.8,55.8
2022/04/08-10:07:08.373854,55.9,55.9,55.9
2022/04/08-10:08:08.387094,55.9,55.9,55.9
2022/04/08-10:09:08.392778,55.9,55.9,55.9
2022/04/08-10:10:08.394509,55.9,55.9,55.9
2022/04/08-10:11:08.404084,55.9,55.9,55.9
2022/04/08-10:12:08.414454,55.9,55.9,55.9
2022/04/08-10:13:08.413790,56.0,56.0,56.0
2022/04/08-10:14:08.433185,56.0,56.0,56.0
2022/04/08-10:15:08.460669,55.9,55.9,55.9
2022/04/08-10:16:08.492476,56.0,56.0,56.0
2022/04/08-10:17:08.510730,56.0,56.0,56.0
2022/04/08-10:18:08.527976,56.0,56.0,56.0
2022/04/08-10:19:08.533907,56.0,56.0,56.0
2022/04/08-10:20:08.553096,56.0,56.0,56.0
2022/04/08-10:21:08.553798,56.1,56.1,56.1
2022/04/08-10:22:08.569704,56.1,56.1,56.1
2022/04/08-10:23:08.578208,56.1,56.1,56.1
2022/04/08-10:24:08.595823,56.0,56.0,56.0
2022/04/08-10:25:08.606892,56.1,56.1,56.1
2022/04/08-10:26:08.636744,56.1,56.1,56.1
2022/04/08-10:27:08.659542,56.1,56.1,56.1
2022/04/08-10:28:08.668721,56.2,56.2,56.2
2022/04/08-10:29:08.698074,56.2,56.2,56.2
2022/04/08-10:30:08.705042,56.1,56.1,56.1
2022/04/08-10:31:08.719024,56.1,56.1,56.1
