Time, BOX1, BOX2, BOX3
2022/05/03-08:50:29.939324,53.1,42.0,46.8
2022/05/03-08:51:29.939636,53.0,42.0,46.9
2022/05/03-08:52:29.962460,53.0,42.0,46.9
2022/05/03-08:53:29.964324,53.0,42.0,46.9
2022/05/03-08:54:29.971806,53.0,42.0,46.9
2022/05/03-08:55:29.996594,53.0,42.0,47.0
2022/05/03-08:56:29.997931,53.1,42.0,47.0
2022/05/03-08:57:30.000808,53.0,42.0,47.1
2022/05/03-08:58:30.008578,53.1,42.0,47.1
2022/05/03-08:59:30.029229,53.1,42.1,47.2
2022/05/03-09:00:30.030381,53.1,42.1,47.2
2022/05/03-09:01:30.047815,53.1,42.1,47.3
2022/05/03-09:02:30.076804,53.1,42.2,47.4
2022/05/03-09:03:30.087997,53.1,42.2,47.5
2022/05/03-09:04:30.670401,53.2,42.3,47.5
2022/05/03-09:05:30.671191,53.3,42.4,47.6
2022/05/03-09:06:30.672787,53.3,42.5,47.6
2022/05/03-09:07:30.685423,53.4,42.5,47.7
2022/05/03-09:08:30.694118,53.4,42.6,47.7
2022/05/03-09:09:30.694645,53.5,42.7,47.7
2022/05/03-09:10:30.695050,53.5,42.8,47.9
2022/05/03-09:11:30.698318,53.5,42.9,47.9
2022/05/03-09:12:30.720734,53.6,42.9,47.9
2022/05/03-09:13:30.724582,53.6,43.0,48.0
2022/05/03-09:14:30.735235,53.7,43.1,48.0
