Time, BOX1, BOX2, BOX3
start
2022/05/03-09:00:37.014595,143.6,111.9,290.9
2022/05/03-09:00:37.127216,143.6,111.9,290.9
2022/05/03-09:00:37.239360,142.0,111.9,290.9
2022/05/03-09:00:37.344917,148.3,111.9,290.9
2022/05/03-09:00:37.455072,142.0,111.9,290.9
2022/05/03-09:00:37.558218,138.9,111.9,290.9
2022/05/03-09:00:37.660776,142.0,108.8,290.9
2022/05/03-09:00:37.783094,146.7,108.8,290.9
2022/05/03-09:00:37.899104,143.6,108.8,290.9
2022/05/03-09:00:38.011164,138.9,108.8,290.9
2022/05/03-09:00:38.143795,138.9,108.7,289.3
2022/05/03-09:00:38.255398,138.9,108.7,289.3
2022/05/03-09:00:38.355413,138.9,108.7,290.9
2022/05/03-09:00:38.479055,138.9,108.7,290.9
2022/05/03-09:00:38.600979,138.9,108.7,286.2
2022/05/03-09:00:38.718817,135.8,111.9,286.2
2022/05/03-09:00:38.831943,137.3,111.9,289.3
2022/05/03-09:00:38.954219,137.3,111.9,286.2
2022/05/03-09:00:39.063115,137.3,111.9,286.2
2022/05/03-09:00:39.165203,135.8,111.9,289.3
2022/05/03-09:00:39.268414,134.2,111.9,289.3
2022/05/03-09:00:39.409325,0.0,0.0,0.0
2022/05/03-09:00:39.516592,0.0,0.0,0.0
2022/05/03-09:00:39.620530,0.0,0.0,0.0
2022/05/03-09:00:39.731782,0.0,0.0,0.0
2022/05/03-09:00:39.844950,0.0,0.0,0.0
2022/05/03-09:00:39.956189,0.0,0.0,0.0
2022/05/03-09:00:40.065074,0.0,0.0,0.0
2022/05/03-09:00:40.177889,0.0,0.0,0.0
2022/05/03-09:00:40.307931,0.0,0.0,0.0
2022/05/03-09:00:40.447914,0.0,0.0,0.0
2022/05/03-09:00:40.578921,0.0,0.0,0.0
2022/05/03-09:00:40.707561,0.0,0.0,0.0
2022/05/03-09:00:40.852639,0.0,0.0,0.0
2022/05/03-09:00:40.952743,0.0,0.0,0.0
2022/05/03-09:00:41.076113,0.0,0.0,0.0
